,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
count,21613.0,21613,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0,21613.0
unique,,372,,,,,,,,,,,,,,,,,,,
top,,20140623T000000,,,,,,,,,,,,,,,,,,,
freq,,142,,,,,,,,,,,,,,,,,,,
mean,4580301520.864988,,540088.1417665294,3.37084162309721,2.1147573219821405,2079.8997362698374,15106.967565816869,1.4943089807060566,0.007541757275713691,0.23430342849211122,3.4094295100171195,7.656873178179799,1788.3906907879516,291.5090454818859,1971.0051357978994,84.40225790033776,98077.93980474715,47.56005251931708,-122.21389640494147,1986.552491556008,12768.455651691113
std,2876565571.312057,,367127.19648269983,0.9300618311474517,0.770163157217742,918.4408970468115,41420.51151513548,0.5399888951423463,0.08651719772788764,0.7663175692736122,0.6507430463662071,1.175458756974335,828.0909776519169,442.5750426774682,29.37341080238659,401.6792400191759,53.505026257473084,0.13856371024192418,0.14082834238139408,685.3913042527776,27304.17963133851
min,1000102.0,,75000.0,0.0,0.0,290.0,520.0,1.0,0.0,0.0,1.0,1.0,290.0,0.0,1900.0,0.0,98001.0,47.1559,-122.519,399.0,651.0
25%,2123049194.0,,321950.0,3.0,1.75,1427.0,5040.0,1.0,0.0,0.0,3.0,7.0,1190.0,0.0,1951.0,0.0,98033.0,47.471,-122.328,1490.0,5100.0
50%,3904930410.0,,450000.0,3.0,2.25,1910.0,7618.0,1.5,0.0,0.0,3.0,7.0,1560.0,0.0,1975.0,0.0,98065.0,47.5718,-122.23,1840.0,7620.0
75%,7308900445.0,,645000.0,4.0,2.5,2550.0,10688.0,2.0,0.0,0.0,4.0,8.0,2210.0,560.0,1997.0,0.0,98118.0,47.678,-122.125,2360.0,10083.0
max,9900000190.0,,7700000.0,33.0,8.0,13540.0,1651359.0,3.5,1.0,4.0,5.0,13.0,9410.0,4820.0,2015.0,2015.0,98199.0,47.7776,-121.315,6210.0,871200.0
